Timestamp,Temperature(Â°C),Humidity(%),SoundLevel(dB),MachineHealth,
18/05/2025 21:56:40,31.30,91.00,0.00,Warning,
18/05/2025 21:56:48,31.30,90.00,1.00,Warning,
18/05/2025 21:56:55,31.30,90.00,2.00,Warning,
18/05/2025 21:57:03,31.30,90.00,2.00,Warning,
18/05/2025 21:57:10,31.30,90.00,0.00,Warning,
18/05/2025 21:57:19,31.30,91.00,1.00,Warning,
18/05/2025 21:57:27,31.30,91.00,0.00,Warning,
18/05/2025 21:57:34,31.30,91.00,0.00,Warning,
18/05/2025 21:57:42,31.30,91.00,1.00,Warning,
18/05/2025 21:57:49,31.30,90.00,0.00,Warning,
18/05/2025 21:57:57,31.30,90.00,0.00,Warning,
18/05/2025 21:58:04,31.30,90.00,1.00,Warning,
18/05/2025 21:58:12,31.30,90.00,1.00,Warning,
18/05/2025 21:58:19,31.30,90.00,0.00,Warning,
18/05/2025 21:58:27,31.30,90.00,0.00,Warning,
18/05/2025 21:58:34,31.30,90.00,0.00,Warning,
18/05/2025 21:58:42,31.30,90.00,0.00,Warning,
18/05/2025 21:58:49,31.30,90.00,1.00,Warning,
18/05/2025 21:58:58,31.30,90.00,0.00,Warning,
18/05/2025 21:59:05,31.30,90.00,0.00,Warning,
18/05/2025 21:59:13,31.30,90.00,0.00,Warning,
18/05/2025 21:59:21,31.30,90.00,0.00,Warning,
18/05/2025 21:59:29,31.30,90.00,0.00,Warning,
18/05/2025 21:59:37,31.30,90.00,0.00,Warning,
18/05/2025 21:59:44,31.30,90.00,0.00,Warning,
18/05/2025 21:59:52,31.30,90.00,0.00,Warning,
18/05/2025 22:00:00,31.30,90.00,0.00,Warning,
18/05/2025 22:00:07,31.30,90.00,1.00,Warning,
18/05/2025 22:00:15,31.30,90.00,0.00,Warning,
18/05/2025 22:00:23,31.30,90.00,2.00,Warning,
18/05/2025 22:00:30,31.30,90.00,0.00,Warning,
18/05/2025 22:00:40,31.30,90.00,1.00,Warning,
18/05/2025 22:00:47,31.30,90.00,0.00,Warning,
18/05/2025 22:00:55,31.30,90.00,0.00,Warning,
18/05/2025 22:01:02,31.30,90.00,0.00,Warning,
18/05/2025 22:01:10,31.30,90.00,0.00,Warning,
18/05/2025 22:01:18,31.30,90.00,0.00,Warning,
18/05/2025 22:01:25,31.30,89.00,2.00,Warning,
18/05/2025 22:01:33,31.30,89.00,0.00,Warning,
18/05/2025 22:01:40,31.30,89.00,0.00,Warning,
18/05/2025 22:01:48,31.30,90.00,0.00,Warning,
18/05/2025 22:01:56,31.30,90.00,0.00,Warning,
18/05/2025 22:02:04,31.30,90.00,1.00,Warning,
18/05/2025 22:02:11,31.30,90.00,1.00,Warning,
18/05/2025 22:02:19,31.30,90.00,0.00,Warning,
18/05/2025 22:02:28,31.30,90.00,2.00,Warning,
18/05/2025 22:02:35,31.30,90.00,2.00,Warning,
18/05/2025 22:02:43,31.30,90.00,0.00,Warning,
18/05/2025 22:02:50,31.30,90.00,0.00,Warning,
18/05/2025 22:02:58,31.30,90.00,0.00,Warning,
18/05/2025 22:03:06,31.30,90.00,1.00,Warning,
18/05/2025 22:03:13,31.30,90.00,0.00,Warning,
18/05/2025 22:03:21,31.30,90.00,0.00,Warning,
18/05/2025 22:03:29,31.30,90.00,0.00,Warning,
18/05/2025 22:03:36,31.30,90.00,0.00,Warning,
18/05/2025 22:03:45,31.30,90.00,0.00,Warning,
18/05/2025 22:03:53,31.30,90.00,2.00,Warning,
18/05/2025 22:04:00,31.30,90.00,3.00,Warning,
18/05/2025 22:04:07,31.30,90.00,2.00,Warning,
18/05/2025 22:04:15,31.30,90.00,0.00,Warning,
18/05/2025 22:04:23,31.30,90.00,1.00,Warning,
18/05/2025 22:04:31,31.30,90.00,1.00,Warning,
18/05/2025 22:04:39,31.30,90.00,4.00,Warning,
18/05/2025 22:04:47,31.30,90.00,0.00,Warning,
18/05/2025 22:04:54,31.30,90.00,3.00,Warning,
18/05/2025 22:05:02,31.30,90.00,0.00,Warning,
18/05/2025 22:05:10,31.30,90.00,1.00,Warning,
18/05/2025 22:05:17,31.30,90.00,0.00,Warning,
18/05/2025 22:05:25,31.30,90.00,0.00,Warning,
18/05/2025 22:05:32,31.30,90.00,1.00,Warning,
18/05/2025 22:05:40,31.30,90.00,0.00,Warning,
18/05/2025 22:05:48,31.30,90.00,0.00,Warning,
18/05/2025 22:05:55,31.30,90.00,0.00,Warning,
18/05/2025 22:06:03,31.30,90.00,0.00,Warning,
18/05/2025 22:06:10,31.30,90.00,1.00,Warning,
18/05/2025 22:06:18,31.30,90.00,0.00,Warning,
18/05/2025 22:06:26,31.30,90.00,0.00,Warning,
18/05/2025 22:06:33,31.30,90.00,1.00,Warning,
18/05/2025 22:06:41,31.30,90.00,2.00,Warning,
18/05/2025 22:06:49,31.30,90.00,0.00,Warning,
18/05/2025 22:06:56,31.30,90.00,2.00,Warning,
18/05/2025 22:07:04,31.30,90.00,0.00,Warning,
18/05/2025 22:07:11,31.30,90.00,0.00,Warning,
18/05/2025 22:07:19,31.30,91.00,0.00,Warning,
18/05/2025 22:07:27,31.30,91.00,0.00,Warning,
18/05/2025 22:07:34,31.30,91.00,1.00,Warning,
18/05/2025 22:07:42,31.20,91.00,3.00,Warning,
18/05/2025 22:07:49,30.80,91.00,0.00,Warning,
18/05/2025 22:07:57,30.80,91.00,0.00,Warning,
18/05/2025 22:08:05,30.80,91.00,0.00,Warning,
18/05/2025 22:08:13,30.80,91.00,0.00,Warning,
18/05/2025 22:08:20,30.80,91.00,0.00,Warning,
18/05/2025 22:08:28,30.80,91.00,1.00,Warning,
18/05/2025 22:08:35,30.80,91.00,2.00,Warning,
18/05/2025 22:08:43,30.80,91.00,0.00,Warning,
18/05/2025 22:08:50,30.80,91.00,1.00,Warning,
18/05/2025 22:08:58,30.80,91.00,0.00,Warning,
18/05/2025 22:09:05,30.80,91.00,0.00,Warning,
18/05/2025 22:09:13,30.80,91.00,0.00,Warning,
18/05/2025 22:09:20,30.80,91.00,3.00,Warning,
18/05/2025 22:09:28,30.80,91.00,0.00,Warning,
18/05/2025 22:09:36,31.20,91.00,0.00,Warning,
18/05/2025 22:09:43,31.30,91.00,0.00,Warning,
18/05/2025 22:09:51,31.30,91.00,0.00,Warning,
18/05/2025 22:09:59,31.30,91.00,0.00,Warning,
18/05/2025 22:10:06,31.30,91.00,0.00,Warning,
18/05/2025 22:10:14,31.30,91.00,0.00,Warning,
18/05/2025 22:10:21,31.30,91.00,2.00,Warning,
18/05/2025 22:10:29,31.30,91.00,0.00,Warning,
18/05/2025 22:10:37,31.30,91.00,1.00,Warning,
18/05/2025 22:10:45,31.30,91.00,0.00,Warning,
18/05/2025 22:10:52,31.30,91.00,0.00,Warning,
18/05/2025 22:11:00,31.30,91.00,0.00,Warning,
18/05/2025 22:11:08,31.30,91.00,0.00,Warning,
18/05/2025 22:11:15,31.30,91.00,0.00,Warning,
18/05/2025 22:11:23,31.30,91.00,1.00,Warning,
18/05/2025 22:11:30,31.30,91.00,0.00,Warning,
18/05/2025 22:11:38,31.30,91.00,5.00,Warning,
18/05/2025 22:11:46,31.30,91.00,1.00,Warning,
18/05/2025 22:11:53,31.20,91.00,0.00,Warning,
18/05/2025 22:12:02,30.80,91.00,0.00,Warning,
